server_program,client_program,buffer_size,nb_sends,pool_size,total_sent,total_received,total_elapsed_time_us,total_msg_time_us,avg_msg_time_us,total_notif,fallback_count
server_zc_loop,zc_loop,65536,500,16,32768000,32768000,733255,733255,1466,500,0
server_zc_loop,zc_loop,65536,1000,16,65536000,65536000,1466523,1466523,1466,1000,0
server_zc_loop,zc_loop,65536,2500,16,163840000,163840000,3683945,3683945,1473,2500,0
server_zc_loop,zc_loop,65536,5000,16,327680000,327680000,7336829,7336829,1467,5000,0
server_zc_loop,zc_loop,65536,10000,16,655360000,655360000,14684283,14684283,1468,10000,0
server_zc_loop,zc_loop,65536,25000,16,1638400000,1638400000,36734738,36734738,1469,25000,0
server_zc_loop,zc_loop,65536,50000,16,3276800000,3276800000,73478841,73478841,1469,50000,0
server_zc_loop,zc_loop_pipeline,65536,500,16,32768000,32768000,297932,3853543,7707,66,0
server_zc_loop,zc_loop_pipeline,65536,1000,16,65536000,65536000,588460,7785809,7785,128,0
server_zc_loop,zc_loop_pipeline,65536,2500,16,163840000,163840000,1475066,19838407,7935,315,0
server_zc_loop,zc_loop_pipeline,65536,5000,16,327680000,327680000,2934875,39567815,7913,628,0
server_zc_loop,zc_loop_pipeline,65536,10000,16,655360000,655360000,5865458,79212142,7921,1253,0
server_zc_loop,zc_loop_pipeline,65536,25000,16,1638400000,1638400000,14657837,198415180,7936,3128,0
server_zc_loop,zc_loop_pipeline,65536,50000,16,3276800000,3276800000,30239634,2145938737,42918,6253,0
server_zc_loop_pipeline,zc_loop,65536,500,16,32768000,32768000,760340,760340,1520,500,0
server_zc_loop_pipeline,zc_loop,65536,1000,16,65536000,65536000,1473929,1473929,1473,1000,0
server_zc_loop_pipeline,zc_loop,65536,2500,16,163840000,163840000,3691173,3691173,1476,2500,0
server_zc_loop_pipeline,zc_loop,65536,5000,16,327680000,327680000,7379066,7379066,1475,5000,0
server_zc_loop_pipeline,zc_loop,65536,10000,16,655360000,655360000,14772230,14772230,1477,10000,0
server_zc_loop_pipeline,zc_loop,65536,25000,16,1638400000,1638400000,36835308,36835308,1473,25000,0
server_zc_loop_pipeline,zc_loop,65536,50000,16,3276800000,3276800000,73177128,73177128,1463,50000,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,500,16,32768000,32768000,322538,5066071,10132,65,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,1000,16,65536000,65536000,588737,7818802,7818,128,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,2500,16,163840000,163840000,1470850,19796351,7918,315,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,5000,16,327680000,327680000,3010074,176419880,35283,628,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,10000,16,655360000,655360000,5862232,80606403,8060,1252,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,25000,16,1638400000,1638400000,14883280,635760248,25430,3127,0
server_zc_loop_pipeline,zc_loop_pipeline,65536,50000,16,3276800000,3276800000,30265729,2213574902,44271,6252,0
server_copy_loop,copy_loop,65536,500,0,32768000,32768000,736392,736392,1472,0,0
server_copy_loop,copy_loop,65536,1000,0,65536000,65536000,1469302,1469302,1469,0,0
server_copy_loop,copy_loop,65536,2500,0,163840000,163840000,3688679,3688679,1475,0,0
server_copy_loop,copy_loop,65536,5000,0,327680000,327680000,7366069,7366069,1473,0,0
server_copy_loop,copy_loop,65536,10000,0,655360000,655360000,14744711,14744711,1474,0,0
server_copy_loop,copy_loop,65536,25000,0,1638400000,1638400000,36806610,36806610,1472,0,0
server_copy_loop,copy_loop,65536,50000,0,3276800000,3276800000,73591943,73591943,1471,0,0
server_copy_loop,copy_loop_pipeline,65536,500,0,32768000,32768000,296251,7974044,15948,0,0
server_copy_loop,copy_loop_pipeline,65536,1000,0,65536000,65536000,588134,16123810,16123,0,0
server_copy_loop,copy_loop_pipeline,65536,2500,0,163840000,163840000,1469938,42412641,16965,0,0
server_copy_loop,copy_loop_pipeline,65536,5000,0,327680000,327680000,2937142,85700829,17140,0,0
server_copy_loop,copy_loop_pipeline,65536,10000,0,655360000,655360000,5864132,176046925,17604,0,0
server_copy_loop,copy_loop_pipeline,65536,25000,0,1638400000,1638400000,14679293,499983988,19999,0,0
server_copy_loop,copy_loop_pipeline,65536,50000,0,3276800000,3276800000,29387704,892263873,17845,0,0
server_copy_loop_pipeline,copy_loop,65536,500,0,32768000,32768000,745126,745126,1490,0,0
server_copy_loop_pipeline,copy_loop,65536,1000,0,65536000,65536000,1477920,1477920,1477,0,0
server_copy_loop_pipeline,copy_loop,65536,2500,0,163840000,163840000,3694834,3694834,1477,0,0
server_copy_loop_pipeline,copy_loop,65536,5000,0,327680000,327680000,7384564,7384564,1476,0,0
server_copy_loop_pipeline,copy_loop,65536,10000,0,655360000,655360000,14774200,14774200,1477,0,0
server_copy_loop_pipeline,copy_loop,65536,25000,0,1638400000,1638400000,36925293,36925293,1477,0,0
server_copy_loop_pipeline,copy_loop,65536,50000,0,3276800000,3276800000,73693786,73693786,1473,0,0
server_copy_loop_pipeline,copy_loop_pipeline,65536,500,0,32768000,32768000,298548,8424892,16849,0,0
server_copy_loop_pipeline,copy_loop_pipeline,65536,1000,0,65536000,65536000,587930,16133350,16133,0,0
server_copy_loop_pipeline,copy_loop_pipeline,65536,2500,0,163840000,163840000,1485750,61648280,24659,0,0
server_copy_loop_pipeline,copy_loop_pipeline,65536,5000,0,327680000,327680000,2935295,90886874,18177,0,0
server_copy_loop_pipeline,copy_loop_pipeline,65536,10000,0,655360000,655360000,5867823,185974456,18597,0,0
server_copy_loop_pipeline,copy_loop_pipeline,65536,25000,0,1638400000,1638400000,14660119,540074261,21602,0,0
server_copy_loop_pipeline,copy_loop_pipeline,65536,50000,0,3276800000,3276800000,29355962,1709006170,34180,0,0
